,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
10801,1,4,*6,1,  5, 0, 0, 1,0,0, 1,0.83010753,18
10853,1,5,*6,1,  7, 0, 3, 0,0,0, 0,0.78305085, 8
10880,1,3,*6,1, 19, 2, 0, 1,0,0, 0,0.82515991,18
10913,2,5,*6,1, 12, 0, 0, 0,*2,0, 2,0.82515991,17
10916,2,5,*6,1, 13, 0, 0, 0,*2,0, 2,0.83365949,16
10917,1,4,*3,1,  6, 0, 0, 1,0,0, 1,0.82515991, 4
11021,1,2,*6,1, 41, 2, 1, 1,1,1, 4,0.84113712,45
11037,1,4,1,*0,  4, 0, 1, 0,0,0, 0,0.61538462,10
11041,1,4,*3,1,  8, 2, 0, 1,0,0, 0,0.50000000, 5
11060,1,3,*2,1,  1, 0, 0, 1,0,1, 0,0.82608696,92
11079,1,4,*6,1, 11, 0, 0, 1,0,1, 1,0.82765957, 6
11119,1,4,*6,1, 12, 0, 0, 3,0,0, 3,0.84113712, 2
11146,1,4,*2,1,  1, 0, 0, 1,0,0, 1,0.28571429, 1
11633,2,3,*2,1, 16, 7, 0, 0,0,*2, 6,0.83333333, 7
11651,1,*1,7,1,  6, 0, 0, 2,1,0, 2,0.78888889,46
11809,1,*1,7,1,  3, 0, 0, 1,0,0, 0,0.80090498, 5
11826,1,*1,7,1, 41, 0, 0, 2,0,0, 1,0.82819383, 5
12037,1,3,4,0, 13, 1, 0, 0,*2,0, 3,0.81927711, 3
12072,1,4,*6,1, 17, 0, 0, 2,0,0, 1,0.81059063, 3
12193,1,3,3,*0,  6, 2, 0, 0,0,0, 3,0.85524126, 1
12277,2,1,1,*0,102, 1, 1, 3,1,0, 5,*0.25000000, 3
12584,1,3,4,1, 64, 0, 0, 2,0,*3, 1,0.66666667, 1
12829,1,3,*6,1,  5, 0, 0, 1,0,0, 1,0.81352459,10
13047,1,4,*6,1, 12, 0, 1, 2,0,1, 1,0.81224490,10
13060,2,3,1,*0,  7, 0, 0, 0,*2,0, 1,0.56000000, 6
13228,1,3,*2,1,  2, 1, 1, 0,0,0, 3,0.83333333, 9
13362,1,3,*2,1,  1, 1, 1, 0,0,0, 3,0.81538462, 2
13431,1,3,*2,1,  4, 3, 1, 0,0,0, 4,0.81538462, 2
13496,1,3,*2,1,  2, 1, 1, 0,0,0, 3,0.78461538, 3
13749,1,*5,4,1,  7, 0, 0, 2,0,0, 0,0.82302405, 3
13750,1,*5,4,1, 11, 0, 0, 2,0,0, 0,0.82302405, 3
13762,1,*4,1,1,  7, 0, 1, 0,0,0, 0,0.71052632,11
13892,1,4,*6,1,  2, 0, 1, 1,0,0, 0,0.46296296,12
13902,3,*5,1,*0, 15, 0, 1, 0,*1,0, 2,0.86624204,13
13904,2,*5,1,*0, 15, 0, 1, 0,1,0, 2,0.86475410,13
13908,1,5,1,*0, 16, 0, 1, 0,1,0, 2,0.86025408,13
13953,1,3,*2,1,  1, 0, 1, 1,0,0, 0,0.85294118,92
14064,1,3,*6,1,  3, 1, 0, 2,0,0, 1,0.79234973,46
14072,2,3,*6,*0,  7, 1, 0, 0,0,0, 3,0.81443299,45
14102,1,3,*2,1, 12, 0, 0, 2,0,0, 1,0.50000000, 1
14368,1,4,*2,1,  2, 0, 0, 0,0,0, 0,0.60000000, 2
14563,1,3,7,1, 51, 2, 2, 3,0,0,*20,0.55932203, 9
14564,1,3,7,1, 51, 2, 2, 2,0,0,*21,0.55932203, 9
14565,1,3,7,1, 52, 2, 2, 1,0,0,*22,0.55932203, 9
14566,1,3,7,1, 52, 2, 2, 1,0,0,*22,0.58333333, 9
14569,1,3,7,1, 52, 2, 2, 1,0,0,*22,0.59375000, 9
14572,1,3,7,1, 53, 2, 2, 1,0,0,*24,0.60937500, 9
14672,1,2,1,*0, 29, 0, 1, 0,1,0, 2,0.50000000, 6
14704,1,4,*2,1,  4, 0, 0, 1,0,0, 1,0.50000000, 1
15173,1,*5,1,1,  6, 1, 1, 1,0,0, 0,0.57142857, 6
15516,1,*1,7,1, 16, 0, 0, 2,0,0, 1,0.82403433,21
15542,1,3,1,*0, 35, 1, 0, 0,0,1, 0,0.91407407, 2
15604,1,4,*6,1,  7, 0, 0, 1,0,0, 1,0.83593750,14
15622,1,3,*6,1,  6, 1, 1, 2,0,0, 0,0.91216216,16
15734,1,3,7,*0,  2, 0, 1, 0,0,0, 1,0.78609626,48
16120,1,3,1,*0, 10, 0, 1, 0,0,0, 1,0.80319149,48
16401,1,3,*6,1,  4, 0, 0, 1,0,0, 1,0.83720930,14
16406,1,3,4,1, 12, 0, 1, 3,0,*2, 2,0.83193277, 3
16505,1,4,*6,1,  3, 0, 0, 0,0,0, 0,0.83558994,14
16732,1,3,7,1, 37, 1, 1, 1,0,*2, 1,0.65384615, 5
16975,1,3,*2,1,  5, 3, 0, 0,0,0, 2,0.82997481, 1
17074,1,*2,1,1, 49, 0, 2, 3,0,1, 1,0.85144928,15
17224,4,*5,*3,1,  9, 0, 0, 0,*1,0, 0,0.83976834,* 8
17472,2,*4,1,1,  8, 0, 0,* 5,0,0, 0,0.84833333, 2
17618,1,3,7,1, 36,*10, 0, 1,0,0, 1,0.56250000, 6
17744,1,3,1,1, 33, 2, 3, 3,*2,0, 1,0.84452975,10
17952,1,4,*2,1,  4, 0, 0, 0,0,0, 0,0.89850058,30
17959,1,*5,4,1,  8, 0, 2, 2,0,0, 0,0.85304659,16
17960,1,*5,4,1,  9, 0, 2, 2,0,0, 1,0.85304659,16
18047,1,3,1,1, 16, 0, 1, 3,0,*2, 1,0.80000000, 2
18366,1,4,1,*0, 19, 0, 0, 0,1,0, 4,0.70930233,13
18369,1,3,*6,1,  6, 0, 0, 1,0,0, 1,0.84000000, 4
18823,1,3,7,1, 22, 0, 1, 1,0,*2, 1,0.66666667, 7
18845,1,3,7,1, 10, 1, 0, 1,0,*2, 1,0.78947368, 5
18892,2,4,1,1,  4, 0, 1, 0,*1,0, 0,0.76543210,* 1
19001,1,4,4,1, 35, 1, 0, 4,*1,0, 2,0.89338235, 4
19060,1,3,*6,1, 15, 0, 0, 1,0,0, 1,0.75000000, 3
19243,1,3,4,*0,  3, 0, 0, 0,0,0, 0,0.60000000, 4
19465,1,4,1,1,  8, 0, 1, 4,*1,0, 1,0.89743590, 4
19550,1,4,*2,1,  4, 2, 0, 1,1,0, 1,0.84090909, 3
19708,1,4,*6,1, 14, 0, 0, 3,0,0, 1,0.92307692, 2
19875,1,4,*2,1, 16, 1, 0, 2,0,0, 1,0.89333333,17
20113,1,4,*2,1,  1, 0, 1, 1,0,0, 0,0.88235294,92
20122,2,*5,4,1,  6, 0, 0, 4,*1,0, 1,0.42857143, 6
20152,1,3,7,*0,  1, 1, 0, 0,0,0, 0,0.66666667, 7
20174,1,3,7,*0,  6, 1, 0, 0,0,0, 0,0.70370370, 7
20215,1,3,3,1, 24, 0, 0, 3,*2,0, 1,0.84469697,14
20227,1,3,4,*0, 10, 0, 0, 0,0,0, 6,0.83928571, 6
20343,1,3,1,*0, 40, 0, 1, 1,1,0, 1,0.86138614, 2
20532,1,4,*2,1,  1, 0, 1, 1,0,0, 0,0.85294118,92
20557,2,*5,1,1,  7, 0, 2, 2,*1,0, 0,0.86619718,11
20659,1,3,7,*0,  2, 0, 0, 0,0,0, 3,0.85369775, 6
20673,1,3,*6,1, 10, 0, 0, 1,0,0, 1,0.74358974, 6
20714,1,4,4,1,  3, 0,* 6, 2,0,0, 1,0.57142857, 4
20721,1,4,1,1,  8, 0, 1, 3,0,0, 1,*0.14285714,43
20941,1,*5,1,1,  9, 0, 0, 3,0,0, 1,0.81094527,41
20944,1,*5,1,1, 10, 0, 0, 3,0,0, 2,0.82178218,40
20970,1,4,*6,1, 28, 1, 0, 3,0,0, 6,0.83928571, 3
20976,1,4,*6,1, 32, 1, 0, 3,0,0, 9,0.85065886, 3
20980,1,4,*6,1, 35, 1, 0, 3,0,0,10,0.85065886, 3
20982,2,4,*6,1, 38, 1, 0, 3,0,0,*12,0.85065886, 3
20985,2,4,*6,1, 39, 1, 0, 4,0,0,*14,0.84025974, 3
20988,2,4,*6,1, 46, 1, 0, 5,0,0,*16,0.84025974, 3
20989,2,4,*6,1, 46, 1, 0, 5,0,0,*16,0.82997481, 3
20991,2,4,*6,1, 48, 1, 0, 5,0,0,*17,0.82997481, 3
20992,2,4,*6,1, 48, 1, 0, 5,0,0,*17,0.82997481, 3
20993,7,*4,*6,1, 48,* 1,* 0, 5,*0,0,*18,*0.82997481, 3
20995,2,4,*6,1, 48, 1, 0, 5,0,0,*20,0.82997481, 3
20996,1,4,6,1, 48, 1, 0, 5,0,0,*21,0.82997481, 3
20998,1,4,6,1, 54, 1, 0, 5,0,0,*21,0.82997481, 3
21000,1,4,6,1, 54, 1, 0, 5,0,0,*23,0.82997481, 3
21001,2,4,*6,1, 54, 1, 0, 5,0,0,*24,0.82997481, 3
21002,2,4,*6,1, 56, 1, 0, 2,0,0,*25,0.82997481, 3
