issuekey	days	death	priority	issuetype	reporterrep	no_fixversion	no_issuelink	no_affectversion
ATTIC-8	300	1	3	3	1.0	0	1	0
AURORA-1314	61	1	5	1	1.0	0	0	0
AURORA-1436	0	1	4	1	1.0	0	0	0
AURORA-1621	0	1	4	3	1.0	0	0	0
AURORA-517	109	1	4	5	1.0	1	0	0
AURORA-518	109	1	4	5	1.0	1	0	0
AVRO-1299	6	1	4	4	1.0	1	0	1
AVRO-1300	4	1	3	1	2.0	1	0	1
AXIS2-1607	1	1	3	1	1.0	1	0	1
AXIS2-1963	1	1	4	2	1.0	0	0	0
AXIS2-254	4	1	3	1	1.0	0	0	1
AXIS2-3436	0	1	4	2	1.0	0	0	0
AXIS2-3641	0	1	3	1	1.0	1	0	0
AXIS2-395	2	1	3	2	1.0	1	0	1
AXIS2-398	0	1	3	4	1.0	1	0	1
AXIS2-402	0	1	3	4	1.0	1	0	1
AXIS2-4190	1168	1	3	1	1.0	2	1	3
AXIS2-4314	1032	1	3	1	2.0	2	3	3
AXIS2C-1126	0	1	3	1	1.0	1	0	1
AXIS2C-1266	6	1	3	1	1.0	0	0	0
AXISCPP-118	11	1	3	2	1.0	1	0	1
AXISCPP-119	0	1	3	2	1.0	1	0	1
AXISCPP-120	0	1	3	2	1.0	1	0	1
AXISCPP-151	0	1	3	2	1.0	0	0	1
AXISCPP-152	14	1	3	2	1.0	0	0	1
AXISCPP-153	14	1	3	2	1.0	1	0	1
AXISCPP-154	0	1	4	4	1.0	1	0	0
AXISCPP-172	126	1	4	4	1.0	1	0	1
AXISCPP-173	16	1	3	1	1.0	1	0	1
AXISCPP-176	41	1	4	4	1.0	1	0	1
AXISCPP-180	21	1	3	1	2.0	0	0	1
