,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
6559,2,*4,1,1, 3, 0,0,1,0,* 1, 1,0.64383562, 5
6568,1,*4,1,1, 6, 0,0,1,0, 1, 1,0.62962963, 2
6664,2,*1,3,1, 0, 0,0,1,0, 0, 0,*0.05555556, 9
6796,1,2,*2,1, 3, 1,0,1,1, 1, 1,0.77777778, 7
6808,2,3,*7,1, 5, 0,0,1,0, 0, 1,*0.84112150,16
6950,1,*4,3,1, 4, 0,0,0,0, 0, 0,0.52941176, 5
6953,1,*4,3,1, 5, 0,0,0,0, 0, 0,0.64705882, 4
7040,1,2,1,1, 3, 0,1,1,*1, 0, 0,0.69662921,27
7160,1,*4,3,0, 9, 0,1,0,0, 0, 4,0.77551020,10
7321,1,*4,1,0, 0, 1,1,0,0, 1, 4,0.76754386, 7
7354,1,3,*2,1, 3, 2,0,1,0, 0, 1,0.79577465, 6
7364,1,3,*2,1, 1, 2,0,1,0, 0, 1,0.83108108, 9
7372,1,3,*2,1, 1, 1,0,0,0, 1, 0,0.85234899,11
7381,1,3,*2,1, 1, 2,0,1,0, 0, 1,0.85234899, 9
7391,1,3,*2,1, 1, 1,0,1,0, 0, 1,0.85234899, 9
7444,1,3,3,1, 3, 0,0,1,0, 0, 0,0.78553616,*71
7499,1,4,3,1, 9, 1,0,0,*1, 0, 0,0.58241758,10
7586,1,*5,3,1, 3, 0,0,0,0, 0, 0,0.80769231, 6
7868,1,*4,3,1, 3, 0,0,1,0, 1, 1,0.75862069, 6
7937,1,3,*6,1, 6, 0,0,0,0, 0, 0,0.52136752,10
7939,1,3,*6,1, 8, 0,0,1,0, 0, 1,0.50819672,10
7972,1,*4,1,1,13, 2,1,1,0, 0, 1,0.52173913, 5
8024,1,3,3,1, 3, 1,1,1,*2, 1, 0,0.69473684,27
8132,1,*4,3,1, 2, 1,0,0,0, 0, 0,0.78378378,17
8194,1,*4,7,1, 3, 0,0,0,0, 0, 0,0.68750000, 5
8312,1,*4,3,1, 3, 0,0,0,0, 0, 0,0.81506849,17
8314,1,*4,3,1, 4, 0,0,0,0, 0, 0,0.80405405,17
8319,1,*4,3,1, 5, 0,0,1,0, 0, 1,0.79069767,17
8320,1,*1,4,1, 2, 0,0,1,0, 0, 0,0.61224490, 2
8326,1,3,*2,1, 4, 2,0,1,0, 1, 1,0.75000000, 7
8357,1,3,1,1, 5,* 2,0,1,0, 0, 0,0.79444444,27
8601,1,3,3,1, 2, 3,0,1,0,* 3, 1,0.66666667, 1
8629,1,3,1,*0, 1, 0,1,1,0, 0, 0,0.78629032,31
8728,2,*4,*6,1, 4, 0,1,1,0, 0, 1,0.54794521, 9
8733,1,3,*7,1, 2, 0,0,1,0, 0, 1,0.68852459,14
8909,1,3,3,1, 7, 2,0,1,0,* 3, 0,0.42307692, 6
8989,2,3,1,*0, 2, 1,1,1,0, 0, 0,0.61538462,* 1
9008,1,3,*6,1, 4, 0,0,1,0, 1, 1,0.61032864,13
9028,2,3,1,*0, 5, 2,0,1,0, 1,* 0,0.64516129, 4
9081,1,4,4,0, 0, 1,1,0,*4, 1, 1,0.67901235, 8
9140,1,3,3,1, 0, 0,0,1,0, 0, 1,*0.16216216,10
