,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
21608,1,*1,1,1,  3,  0, 0, 1,0, 0,1,0.85119048, 3
21638,1,*5,1,1,  6,  0, 0, 0,0, 0,0,0.76363636,91
21837,1,*2,1,1,  2,  2, 1, 0,0, 0,1,0.50000000, 7
21901,1,3,*2,1,  9,  0, 0, 0,0, 0,0,0.88951841,13
21949,1,*2,1,1,  6,  1, 0, 0,0, 0,0,0.42553191,12
22118,1,3,*2,1, 34,  2, 1, 1,0, 0,1,0.85245902,10
22426,2,3,1,1,  6,  0,* 6,* 1,0, 2,2,0.33333333, 2
22469,1,3,*2,1, 19,  1, 0, 1,0, 1,1,0.83333333,13
22591,1,5,*2,1,  8,  2, 0, 1,0, 0,1,0.77064220,93
22982,7,3,*1,1,*  8,*  0,* 0,* 2,0, 0,1,*0.89393939,* 8
22983,8,*3,*1,1,*  9,*  0,* 0,* 2,0, 0,1,*0.89393939,* 8
23171,1,3,*3,1,  4,  0, 0, 0,0, 0,0,0.65732087,16
23207,1,*5,4,1,  6,  0, 0, 0,0, 0,0,0.76363636,96
23357,1,3,1,1, 11,  1, 1, 1,0, 1,1,0.50000000,*97
23362,1,4,1,1, 17,  1, 1, 1,*1, 1,1,0.57142857,97
23444,1,4,1,1,  1,  0, 0, 2,*1, 0,1,0.89552239, 8
23445,2,*4,1,1,  5,  0, 0, 2,*1, 0,1,0.89552239, 8
23488,1,3,*2,1, 24,  1, 1, 2,0, 0,1,0.85483871,14
23535,1,3,*2,1,  6,  0, 0, 1,0, 0,0,0.62040816, 6
23621,1,3,*2,1, 13,  2, 1, 1,0, 2,1,0.71875000,14
23703,1,3,*2,1, 16,  0, 0, 1,0, 0,1,0.69847328, 1
23713,1,*5,1,1,  6,  0, 0, 0,0, 0,0,0.70588235, 1
23722,1,4,*6,1, 20,  2, 1, 1,0, 0,1,0.66666667, 1
23756,4,4,4,1, 29,  5,* 1,* 2,*1, 0,*1,0.66784452,10
23776,1,4,1,1,  1,  1, 1, 1,0, 1,1,*0.20000000, 8
23864,2,3,*2,1,  4,  1, 0, 0,0, 0,0,*0.20000000, 8
24074,2,*4,*4,1,  3,  0, 0, 2,0, 0,1,0.88405797, 9
24083,1,*4,1,1,  1,  0, 0, 2,0, 0,1,0.88405797, 9
24094,2,*2,*4,1,  5,  0, 3, 3,0, 0,1,0.69581749,17
24132,1,*2,1,1, 13,  0, 1, 1,0, 0,1,0.40000000, 1
24135,1,*2,1,1, 13,  0, 1, 1,0, 0,1,0.42857143, 1
24164,1,*1,1,1,  9,  1, 2, 2,0, 0,1,0.37037037,13
24183,2,3,1,1,*  2,*  1, 0, 2,0, 0,1,0.90000000, 8
24476,1,3,*2,1,  3,  1, 1, 0,0, 0,0,0.45614035,16
24548,1,3,1,1, 26,  1, 1, 0,0,* 4,0,0.50000000, 1
24595,1,3,*6,1, 14,  0, 0, 1,0, 0,1,0.78741497,31
24601,1,3,*2,1,  3,  1, 1, 1,0, 0,0,0.69924812,17
24709,1,3,*7,1,  8,  0, 0, 2,0, 0,1,0.82812500, 5
24710,2,3,*7,1,  9,  0, 0,* 2,0, 0,1,0.82812500, 4
24711,2,3,*7,1, 13,  0, 0,* 2,0, 0,1,0.82812500, 4
24712,2,3,*7,1, 15,  0, 0, 2,0,* 1,1,0.82812500, 4
24995,1,3,*2,1,  6,  0, 0, 1,0, 0,0,0.62348178, 6
25018,3,3,1,1,  5,  0,* 1,* 2,0, 0,1,0.85714286,* 3
25019,9,*3,*1,1,*  6,*  0,* 1,* 2,0,* 0,1,*0.85714286,* 3
25023,2,3,1,1,  6,  0,* 1,* 2,0, 0,1,0.85294118, 3
25052,1,3,*2,1,  7,  0, 0, 1,0, 0,0,0.62348178,15
25057,1,3,*2,1, 34,  3, 0, 1,0, 0,0,0.62348178,15
