issuekey	start_date	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload	start	end	is_dead	should_censor
CLOUDSTACK-9777	2018-02-16	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	373	376	0	1
CLOUDSTACK-9777	2018-02-19	3	5	unassigned	0	4	0	0	0	0	0	0	0	NA	376	911	0	1
CLOUDSTACK-9778	2017-02-08	3	2	unassigned	0	2	0	0	0	0	0	0	0	NA	0	41	0	0
CLOUDSTACK-9778	2017-03-21	3	2	unassigned	0	3	0	0	0	0	0	0	0	NA	41	44	0	0
CLOUDSTACK-9778	2017-03-24	3	2	unassigned	0	4	0	0	0	0	0	0	0	NA	44	48	0	0
CLOUDSTACK-9778	2017-03-28	3	2	unassigned	0	5	0	0	0	0	0	0	0	NA	48	365	0	0
CLOUDSTACK-9778	2017-03-28	3	2	unassigned	0	5	0	0	0	0	0	0	0	NA	365	911	0	1
CLOUDSTACK-9804	2017-02-27	4	2	unassigned	0	0	0	0	0	0	0	0	0	NA	0	12	0	0
CLOUDSTACK-9804	2017-03-11	4	2	unassigned	0	1	0	0	0	0	0	0	0	NA	12	14	0	0
CLOUDSTACK-9804	2017-03-13	4	2	unassigned	0	2	0	0	0	0	0	0	0	NA	14	365	0	0
CLOUDSTACK-9804	2017-03-13	4	2	unassigned	0	2	0	0	0	0	0	0	0	NA	365	892	0	1
