,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
18757,1,4,1,1,  8, 0, 0, 1,0,0,*15,0.63636364, 1
18766,1,4,1,1,  8, 0, 0, 0,0,0,*16,0.80769231, 1
18791,1,4,1,*0,  4, 1, 1, 0,0,0, 2,0.33333333, 1
18829,1,4,4,*0,  4, 1, 0, 0,0,0, 0,0.66666667, 2
18855,1,*2,1,1,  7, 1, 0, 4,0,0, 1,0.83673469, 5
18856,1,*2,1,1,  8, 1, 0, 4,0,0, 1,0.83673469, 5
18910,1,4,*2,1, 10, 0, 0, 1,0,0, 0,0.71428571, 3
18914,1,4,7,*0,  1, 0, 0, 0,0,0, 0,0.64383562,13
18956,1,3,4,*0,  6, 1, 0, 0,0,0, 2,0.84068279, 8
18957,1,3,4,*0,  6, 1, 0, 0,0,0, 2,0.85138889, 8
18989,2,3,*2,1, 14, 0, 1, 1,0,0, 1,*0.20000000, 1
19032,1,4,1,*0,  6, 0, 1, 0,0,0, 3,0.60000000, 4
19071,1,3,*2,1, 22, 0, 0, 4,0,0, 1,0.51282051,18
19103,1,4,1,*0,  3, 2, 1, 0,0,0, 0,0.66666667, 3
19107,1,3,*6,1, 12, 1, 0, 1,0,0, 1,0.85420240,21
19162,1,4,*6,1,  3, 0, 0, 4,0,0, 1,0.50000000, 1
19163,1,4,*6,1, 10, 0, 0, 4,0,0, 2,0.75000000, 1
19169,1,*5,4,1,  6, 0, 1, 4,0,0, 1,0.60294118,16
19171,7,*5,*4,1,*  8, 0,* 1,* 4,0,0,* 3,*0.60294118,16
19176,1,*5,4,1,  9, 0, 1, 1,0,0, 4,0.88235294, 7
19292,1,*1,1,1, 22, 0, 2, 4,1,0, 2,0.60317460,14
19385,1,3,2,1,105,*13, 0, 4,0,0, 3,0.74731183,10
19404,2,3,7,*0, 11, 0, 0, 0,0,0,*14,0.33333333,15
19512,1,3,1,*0, 10, 3, 0, 0,0,1, 3,0.84788732, 5
19576,1,3,1,1, 11, 0, 0, 3,0,0,*17,0.72115385,19
19584,1,3,*2,1, 25, 0, 0, 1,0,0, 0,0.85148515,25
19678,3,3,1,*0,  7, 1,* 6, 0,0,1,*10,0.66666667, 1
19707,1,3,*3,1,  4, 0, 0, 0,0,0, 0,0.91516147,32
19796,2,3,*2,1,  9,* 7, 0, 4,0,0, 1,0.84691011, 6
19812,1,3,*2,1, 81, 7, 0, 2,0,0, 2,0.84691011, 6
19825,9,*4,*4,1, 16,* 2,* 0,* 4,*1,*0, 1,*0.66666667,* 1
19840,1,3,4,1, 57, 3, 0, 2,*2,0, 2,0.85714286, 6
19924,1,4,1,1, 13, 0, 1, 4,0,1, 0,*0.20000000, 2
20141,1,*1,1,1,  9, 5, 2, 3,0,0, 1,0.60563380,18
20154,1,3,4,1, 14, 0, 0, 4,*1,0, 1,0.42857143, 8
20313,1,3,*2,1, 11, 0, 1, 2,0,0, 1,0.90909091, 6
20325,1,*5,1,1, 29, 0, 0, 2,0,1, 1,0.66666667, 1
20326,1,*5,1,1, 30, 0, 0, 2,0,1, 1,0.66666667, 1
20358,1,4,*2,1, 13, 2, 0, 2,0,0, 0,0.88823529,20
20423,1,3,*2,1, 82, 5, 0, 1,0,1, 1,0.33333333, 1
20457,1,2,*6,1, 40, 3, 0, 1,0,0, 6,0.74468085, 4
20459,2,*2,*6,1, 40, 3, 0, 1,0,0, 6,0.75641026, 3
20460,1,2,*6,1, 41, 3, 0, 0,0,0, 7,0.75641026, 3
20556,4,*1,1,1, 26,* 2, 1, 1,*1,0, 2,0.83969466,* 1
20591,1,3,*2,1, 42, 5, 0, 2,0,1, 1,0.85041551, 1
20639,2,3,1,*0, 15, 1, 1, 0,0,0,*10,0.84923928,10
20643,1,3,1,1, 26, 0, 2, 2,0,*2, 1,0.77777778, 3
20648,1,3,1,1, 27, 0, 2, 2,0,*2, 1,0.96153846, 2
20651,1,3,*2,1,  7, 1, 0, 0,0,0, 1,0.94117647, 5
20652,1,3,*2,1,  8, 1, 0, 0,0,0, 1,0.94117647, 5
20709,1,5,*6,1, 15, 0, 0, 4,0,0, 0,0.84827586, 9
20719,1,3,4,1, 62, 2, 0, 4,*1,1, 1,0.88486842, 5
20956,1,1,1,1, 50, 0, 3, 3,*2,1, 2,0.77049180, 6
21026,1,3,*2,1,135, 4, 0, 2,0,0, 2,0.66666667, 6
21183,1,3,*2,1, 29, 1, 1, 2,0,0, 1,0.83773585, 8
21222,1,4,*6,1,  5, 0, 0, 2,0,0, 1,0.89534884,22
21226,1,*2,7,1,  3, 0, 0, 2,0,0, 1,0.94117647, 5
21308,1,3,*7,1, 23, 1, 0, 2,0,0, 2,0.90243902, 2
21457,1,*1,1,1,  5, 0, 0, 1,0,0, 0,0.85971944, 9
21459,1,*1,1,1,  2, 1, 2, 4,0,0, 0,0.63291139,17
21493,1,*1,1,1,  0, 0, 0, 1,0,0, 0,0.85971944,14
21534,1,3,*3,1,  4, 0, 0, 0,0,0, 0,0.62195122,19
21548,1,*5,4,1,  1, 0, 1, 3,0,0, 0,0.73722628, 4
21605,1,3,7,1, 30, 2, 1, 1,0,*2, 1,0.64516129, 9
21649,1,2,*2,1, 50, 0, 1, 1,1,1, 5,0.50000000, 1
21731,1,3,3,*0,  3, 0, 0, 0,0,0, 5,0.85542169, 8
21757,1,3,4,*0, 24, 0, 1, 3,0,0, 1,0.91262136, 5
21758,1,3,4,*0, 25, 0, 1, 3,0,0, 1,0.91262136, 5
21759,4,*2,*4,*0, 27, 0,* 1, 3,1,0, 1,0.91262136, 5
21760,1,2,4,*0, 27, 0, 1, 3,1,0, 2,0.91262136, 5
21761,1,2,4,*0, 27, 0, 1, 3,1,0, 2,0.92423428, 5
21762,7,*2,*4,*0, 27,* 0,* 1,* 4,1,0, 3,*0.92423428, 5
21764,1,2,4,*0, 27, 0, 1, 5,1,0, 5,0.92423428, 5
21765,2,*2,4,*0, 27, 0, 1, 5,1,0, 6,0.92423428, 5
21766,4,*2,*4,*0, 28, 0, 1, 5,1,0,* 7,0.92423428, 5
21767,1,2,4,*0, 28, 0, 1, 5,1,0, 8,0.92423428, 5
21768,4,*2,*4,*0, 29, 0, 1, 2,1,0,* 9,0.92423428, 5
21769,3,*2,4,*0, 29, 0, 1, 2,1,0,*10,0.92423428, 5
21876,1,*5,1,1,  2, 0, 1, 0,1,0, 0,0.72661871, 7
21885,1,3,1,1, 11, 0,* 7, 4,0,0, 1,0.81694915, 8
21903,1,1,*2,1, 18, 0, 1, 1,1,0, 1,0.80000000, 2
21926,1,3,*4,1, 75, 0, 1, 0,0,0, 0,0.92423428,34
21927,1,3,4,1, 77, 2, 1, 0,0,0,* 0,0.92423428,34
21954,1,3,*7,1, 15, 0, 0, 2,0,0, 1,0.88025890, 6
21957,1,3,7,*0, 16, 0, 0, 0,0,0, 3,0.88025890, 6
22012,1,3,*7,1, 31, 0, 0, 4,0,0, 2,0.88025890,11
22111,2,3,1,1, 22, 0, 1, 1,0,0,* 0,0.88888889,* 1
22137,1,*1,1,1, 18, 0, 3, 3,0,0, 1,0.52380952, 7
22180,1,*1,1,1,  8, 0, 2, 4,0,0, 1,0.83208955,12
22228,2,3,4,*0, 22, 0, 0, 0,0,1,*13,0.85542169, 8
22230,2,*1,1,*0, 18, 0, 1, 1,0,0, 0,0.75000000, 9
22232,2,*1,1,*0, 20, 0, 1, 1,0,0, 0,0.75000000, 9
22234,5,*1,1,*0, 25, 0, 1, 1,*0,0, 0,*0.75000000,* 1
22235,2,*1,1,*0, 25, 0, 1, 1,0,0, 0,0.78571429, 1
22445,1,4,*2,1, 28, 1, 0, 2,0,0, 1,0.50000000, 1
22536,1,3,*6,1, 16, 0, 2, 2,0,0, 2,0.85542169, 9
22622,1,4,*2,1,  5, 0, 0, 0,0,0, 0,0.25000000, 4
22694,1,3,1,*0, 18, 2, 0, 0,0,0, 5,0.85580774,11
22855,1,3,2,*0,101, 5, 0, 0,0,0, 2,0.80000000, 1
22864,1,4,*2,1, 11, 0, 0, 1,0,0, 0,0.73170732, 6
22870,1,3,*2,1, 27, 0, 2, 2,0,0, 1,0.83695652,11
22872,1,4,*6,1, 12, 0, 2, 2,0,0, 1,0.33333333, 2
23060,2,*2,*3,1,  4, 1, 2, 3,0,0, 0,0.59782609, 6
23138,1,3,1,0, 18, 0, 1, 3,*3,1, 9,0.40000000, 8
23365,1,3,1,*0,  2, 0, 1, 0,0,0, 1,0.33333333, 2
23652,1,*5,1,1, 13, 1, 0, 0,0,0, 0,0.74242424, 1
