,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
11328,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.68831169, 1
11335,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.70370370, 1
11338,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.71428571, 1
11342,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.79545455, 1
11366,1,3,*5,1, 31, 3, 0,0,0,0, 3,0.81746032, 1
11370,1,3,*5,1, 31, 3, 0,0,0,0, 3,0.82857143, 1
11372,1,3,*5,1, 31, 3, 0,0,0,0, 3,0.83216783, 1
11376,1,3,*5,1, 32, 3, 0,0,0,0, 3,0.83221477, 1
11378,1,3,*5,0, 33, 3, 0,0,0,0, 3,0.87417219, 1
11379,1,3,*5,0, 33, 3, 0,0,0,0, 3,0.88741722, 1
11832,1,4,*3,1,  7, 0, 1,1,0,0, 1,0.78414097,15
12017,1,3,*2,1, 46, 0, 1,2,0,0, 1,0.60000000, 1
12156,1,3,1,1,  1, 1, 1,1,0,0,* 6,0.89285714, 5
12345,1,3,1,*0, 15, 4, 1,1,0,0, 1,0.67816092, 2
12366,1,*5,4,1,  3, 0, 1,0,0,0, 0,0.46153846, 3
12485,1,*5,1,1,  6, 0, 0,1,0,0, 1,0.33333333, 2
12490,1,*5,1,1,  6, 0, 0,1,0,0, 1,0.47368421, 5
12617,1,*2,1,1, 10, 1, 2,0,0,0, 0,0.72413793,20
12634,1,*2,7,1, 34, 1, 2,2,0,0, 1,0.76397516,20
12652,1,*2,1,1, 23, 1, 2,1,0,0, 1,0.72297297,16
12658,1,*2,1,1,  8, 2, 2,0,0,0, 0,0.72413793,21
12666,1,*2,1,1, 14, 2, 2,0,0,0, 0,0.73825503,21
12722,1,*5,1,1, 43, 3, 2,1,0,0, 1,0.25000000, 3
12761,1,3,*2,1, 46, 0, 0,1,0,1, 3,0.33333333, 1
12823,1,3,*2,1, 15, 5, 0,1,0,0, 1,0.65432099, 2
12983,1,3,*2,1, 28, 1, 1,1,0,0, 1,0.50000000, 4
13226,1,4,*6,1, 15, 0, 1,2,0,0, 1,0.84126984, 2
13396,1,3,*3,1,  2, 0, 1,1,0,0, 1,0.84699454,11
13440,1,3,*3,1,  5, 0, 1,0,0,0, 0,0.84699454,10
13442,1,3,*3,1, 10, 0, 1,1,0,0, 1,0.84491979,10
13447,1,*2,1,1, 12, 4, 0,0,0,0, 0,0.53846154, 3
13533,1,3,4,1, 25, 2, 1,1,0,0, 1,*0.20000000, 3
13627,1,3,1,1,  4,*51, 1,0,0,1, 0,0.86642599, 2
13719,1,*2,1,1,  8, 3, 1,1,0,1, 1,0.67647059, 2
14067,1,3,4,1, 41, 0, 2,0,0,*3, 0,0.77272727, 2
14127,1,3,*7,1,  5, 0, 1,1,0,0, 1,0.69565217,11
14131,1,3,*7,1,  5, 0, 1,1,0,0, 1,0.70212766,10
14145,1,3,*7,1,  7, 0, 1,1,0,0, 1,0.78151261, 6
14219,2,3,4,*0,  1, 1, 1,0,0,0,* 0,0.81818182, 3
14241,1,3,*6,1,  4, 0, 1,1,0,0, 1,0.85263158,14
14341,1,3,*6,1,  6, 1, 1,1,0,0, 1,0.84974093,12
14345,1,4,*6,1, 13, 1, 1,1,0,0, 1,0.84974093,10
14352,1,3,*6,1,  9, 0, 1,1,1,0, 1,0.50000000, 1
14438,1,3,2,*0,  9, 1, 0,1,0,0, 1,0.69565217,13
14439,1,3,*2,1, 20, 1, 0,1,0,0, 2,0.70652174, 2
