"","Count","priority","issuetype","link_count","affect_count","fix_count","has_priority_change","has_desc_change","has_fix_change","reporter_rep","assignee_workload"
"269177",1,"3","1"," 1"," 0","4","0","0","* 8","61.90476","17"
"270998",1,"3","*5"," 1"," 1","1","0","0"," 0","61.17647","18"
"271317",1,"*5","7"," 0"," 0","0","0","0"," 0","68.75000"," 3"
"271802",1,"3","*5"," 1"," 0","0","0","0"," 0","84.18605"," 8"
"272033",1,"3","4"," 1"," 0","2","0","0","* 8","76.92308"," 2"
"272231",1,"3","1"," 0"," 2","*6","0","0"," 0","89.61039","12"
"272465",1,"3","7"," 1"," 0","1","0","*5"," 0"," 0.00000"," 1"
"285170",1,"3","4"," 0"," 0","3","0","0","*18","86.66667"," 1"
"287257",1,"3","4"," 0"," 0","*5","0","0"," 0","61.53846"," 4"
"288129",1,"3","1"," 2"," 0","0","*2","1"," 0","70.51282","18"
"288261",1,"5","*5"," 0"," 1","0","0","0"," 0"," 0.00000"," 8"
"290039",1,"3","7"," 2"," 1","4","0","0","* 8","83.62832","14"
"292194",1,"3","4"," 0"," 0","1","*2","0"," 1","33.33333"," 1"
"292799",1,"4","1"," 0","*12","4","1","0"," 3","59.07173"," 1"
"293999",1,"2","2"," 0"," 1","3","1","1","* 8","92.35474"," 5"
"296571",1,"3","*6"," 0"," 0","0","0","0"," 0","55.55556"," 8"
"298315",1,"1","1"," 2"," 0","1","1","1","* 8","83.60656","57"
"301213",1,"3","*5"," 1"," 0","0","0","0"," 0","52.59259","58"
"307594",1,"4","*5"," 0"," 0","0","0","0"," 0"," 0.00000"," 4"
"309645",1,"2","1"," 4"," 0","1","*4","0"," 5","83.85093","24"
"309661",1,"4","7"," 0"," 0","0","0","*3"," 0","44.44444"," 4"
"309663",1,"4","7"," 0"," 0","0","0","*3"," 0","55.55556"," 2"
"311995",1,"2","3"," 4","* 8","4","1","0"," 2","55.18519","49"
"313951",1,"*1","7"," 0"," 0","5","0","0"," 0","53.78788","10"
"314114",1,"3","*5"," 0"," 0","0","0","0"," 0","84.18605"," 8"
"316002",1,"4","1"," 0","* 5","5","1","0"," 1","87.63636"," 1"
"319002",1,"3","*5"," 2"," 0","0","0","0"," 0","78.26087"," 8"
"322559",1,"*5","1"," 0"," 0","0","0","0"," 0","33.33333"," 5"
"322581",1,"3","*6"," 1"," 0","0","0","0"," 0","88.63937"," 8"
"323093",1,"3","*5"," 0"," 0","0","0","0"," 0","90.96927"," 8"
"327720",1,"4","*5"," 1"," 1","1","0","0"," 0","90.21407","28"
"330962",1,"5","*5"," 2"," 0","0","0","1"," 0","76.00000"," 4"
"332070",1,"3","1"," 0"," 1","2","0","0"," 1","* 0.00000"," 1"
"335641",1,"3","*5"," 3"," 1","1","0","1"," 0","82.92683"," 8"
"350920",1,"5","*5"," 0"," 0","0","0","1"," 0"," 0.00000"," 8"
"352573",1,"2","1"," 3"," 0","1","*3","2"," 1","72.22222"," 8"
"353078",1,"1","*5"," 1"," 2","1","1","0"," 4","83.85827"," 8"
"353924",1,"4","2"," 0"," 1","1","0","*3"," 0","73.46939","10"
"356959",1,"2","1"," 1"," 0","1","0","0","* 8","89.44835"," 8"
"364363",1,"3","*5"," 1"," 0","1","0","1"," 0","84.61538","13"
"366422",1,"3","1"," 2"," 3","1","0","1"," 0","* 0.00000"," 1"
"372259",1,"2","*6"," 0"," 0","0","1","0"," 0","89.04110"," 8"
"372904",1,"2","1"," 0"," 6","4","0","0","*10","61.04513"," 4"
"373169",2,"3","*5","*21"," 0","0","0","0"," 0","67.41573"," 8"
"374462",1,"3","1"," 0"," 0","4","0","0","* 7","75.00000","15"
"381714",1,"2","4"," 2"," 0","1","1","*3"," 0","81.88976","14"
"382916",1,"3","*5"," 2"," 0","1","0","0"," 0","82.05128","13"
"386141",1,"3","*6"," 1"," 0","1","0","0"," 0","65.19608"," 8"
"386233",1,"3","4"," 1"," 0","1","*2","0"," 0","69.52381","56"
"388049",1,"4","*5"," 0"," 0","0","0","0"," 0","76.71233"," 8"
"388247",1,"3","1"," 0"," 3","1","0","0","*14","88.94472"," 3"
"388946",1,"3","1"," 0","* 5","5","0","0"," 1"," 0.00000"," 8"
"391520",1,"3","*5"," 0"," 1","0","0","0"," 0"," 0.00000"," 8"
"392880",1,"3","*6"," 0"," 0","0","0","1"," 0","88.99083"," 8"
"392907",1,"1","*5"," 0"," 1","1","1","0"," 0","82.17822"," 8"
"395576",1,"3","*6"," 0"," 0","0","0","0"," 0","89.41566"," 6"
"397678",1,"3","*5"," 0"," 3","1","0","0"," 1","81.70732"," 8"
"398152",1,"3","*6"," 2"," 0","0","0","0"," 0","58.21326","40"
"398859",1,"3","*6"," 0"," 0","0","0","0"," 0","89.50339"," 8"
"399071",1,"1","3","*21"," 0","1","0","0"," 1","82.78509","16"
"399519",1,"2","*6"," 1"," 0","1","1","0"," 0","57.14286"," 7"
"400941",1,"3","3","*21"," 1","0","0","0"," 0","77.50000","21"
"400957",1,"3","1"," 0"," 0","0","1","*3"," 0"," 0.00000"," 1"
"401680",1,"3","*6"," 0"," 0","0","0","1"," 0","89.52484"," 8"
"401817",1,"3","*5"," 0"," 0","6","0","0"," 0","86.02151","11"
"401842",1,"3","*5"," 0"," 0","5","0","0"," 2","83.62069","14"
"402388",1,"*5","4"," 0"," 0","0","0","0"," 0","45.00000"," 8"
"402622",1,"3","*6"," 0"," 0","0","0","0"," 0","65.43210"," 8"
"408289",1,"3","*5"," 3"," 0","1","0","0"," 3","63.33333","13"
"408944",1,"2","*5"," 1"," 1","0","1","1"," 0","66.66667"," 8"
"412414",1,"2","*5"," 1"," 0","1","1","0"," 2","83.84615","11"
"412516",1,"3","7"," 0"," 0","0","0","*3"," 0","80.32787"," 6"
"414058",1,"2","1"," 0"," 0","3","0","0","* 9","75.00000","17"
"418863",1,"3","3"," 0"," 0","1","0","0","*11","67.53927"," 8"
"418964",2,"4","*3"," 0"," 0","*7","0","0"," 0","76.94915"," 8"
"419648",1,"3","1"," 0","* 7","0","0","1"," 0","45.45455"," 4"
"420956",1,"1","*5"," 1"," 2","1","0","0"," 1","85.20179"," 8"
"424300",1,"3","*5"," 0"," 0","0","0","0"," 0","50.00000"," 6"
"424878",1,"3","*5"," 1"," 0","1","0","0"," 0","85.63218","18"
"427345",1,"3","*5"," 0"," 0","1","0","0"," 1","70.00000","13"
"430455",1,"2","1"," 1","* 7","1","1","1"," 0"," 0.00000"," 1"
"432542",1,"3","7"," 2"," 0","1","0","*3"," 0","83.17757","13"
"433339",1,"3","*5"," 0"," 0","0","1","0"," 0","80.85106"," 6"
"433433",1,"3","*6"," 0"," 0","0","0","0"," 0","90.79079"," 8"
"433445",1,"3","*5"," 0"," 1","1","0","0"," 0","89.01099","10"
"433647",1,"4","4"," 0"," 0","1","0","0"," 0","* 0.00000"," 1"
"436724",1,"3","*5"," 0"," 0","0","0","0"," 0","84.91620"," 8"
"443316",1,"3","*5"," 4"," 0","0","0","0"," 0","89.78224","64"
"445234",1,"1","*6"," 1"," 0","1","0","0"," 1","85.60606","49"
"451572",1,"3","4"," 0"," 1","0","0","*3"," 0","20.00000"," 3"
"453954",1,"3","*5"," 0"," 0","1","0","0"," 0","86.17512","20"
"454172",1,"4","1"," 0"," 1","4","0","0","* 9","84.67662"," 8"
"458945",1,"2","*5"," 0"," 0","1","0","0"," 0","85.25346","22"
"466970",1,"2","1"," 0"," 0","0","0","*3"," 0","88.46154"," 4"
"469229",1,"1","*5"," 5"," 0","1","1","0"," 3","89.62963"," 8"
"469749",1,"3","7"," 5"," 0","1","0","*5"," 1","72.52747"," 1"
"470455",1,"2","3"," 0"," 1","1","0","0","* 7","67.87565"," 8"
"471077",1,"5","1"," 0","* 9","2","1","1"," 0","60.94118","36"
"474539",1,"3","*5"," 1"," 0","0","0","2"," 0","89.59668","72"
"475517",1,"2","1"," 1"," 0","0","*3","0"," 1","91.03774","66"
"477098",1,"1","*6"," 0"," 1","1","1","0"," 0","87.50000"," 4"
"481232",1,"2","*5"," 0"," 1","3","0","0"," 4","66.60517","33"
"481596",1,"3","*5"," 1"," 0","1","0","0"," 0","91.28440"," 8"
"489061",1,"3","1"," 0"," 0","*7","1","1"," 0","83.75635","14"
"489761",1,"3","*5"," 1"," 0","2","0","0"," 3","89.55224"," 8"
"490870",1,"3","*5"," 0"," 2","0","0","1"," 0","50.00000"," 5"
"492527",1,"4","*5"," 0"," 0","0","0","0"," 0","75.21515"," 8"
"496492",1,"3","*5"," 1"," 0","0","0","0"," 0","92.40506"," 8"
"500312",1,"3","3"," 0"," 0","*7","0","0"," 1","72.44094","14"
"500682",1,"3","1"," 0"," 1","0","0","*3"," 0"," 0.00000"," 1"
"503057",1,"3","*6"," 0"," 0","0","0","1"," 0","90.87416"," 8"
"503886",1,"2","7"," 0"," 0","1","0","0","*10","89.57529"," 4"
"508352",1,"2","*6"," 1"," 0","1","1","0"," 0","91.26761","33"
"509483",1,"2","1"," 0"," 0","*8","1","0"," 0","79.41176","15"
"510866",1,"3","4"," 1"," 0","2","0","*4"," 0","59.25926"," 9"
"511009",1,"4","*6"," 0"," 0","0","0","0"," 0","89.52618","42"
"512366",1,"3","1"," 1","* 7","0","0","1"," 0"," 0.00000"," 1"
"513243",1,"3","1"," 1"," 0","8","0","*3"," 0","91.42591","32"
"513957",1,"*5","4"," 0"," 0","0","0","0"," 0"," 0.00000"," 1"
"515477",1,"1","1"," 0","* 7","2","0","1"," 0","84.50148","14"
"515479",1,"1","1"," 0","* 7","2","0","1"," 0","84.41815","14"
"516833",1,"3","*5"," 1"," 2","2","0","0"," 0","89.04847","10"
"517342",1,"3","4"," 0"," 0","1","0","*4"," 0","86.70520","12"
"518799",1,"*5","4"," 0"," 0","0","0","0"," 0","50.00000"," 1"
"520146",1,"4","*5"," 0"," 0","1","0","1"," 0","70.83333","21"
"521004",1,"3","*5"," 0"," 1","0","0","1"," 0","84.67507","16"
"521310",1,"1","1"," 0","* 7","0","1","0"," 0"," 0.00000"," 8"
"523131",1,"1","3"," 0","* 8","6","0","0"," 0","87.84441","13"
"523326",1,"3","*5"," 0"," 0","0","0","0"," 0","87.81250"," 8"
"523372",1,"3","*5"," 0"," 0","0","0","0"," 0","88.53411","73"
"523954",1,"3","*5","17"," 0","0","0","1"," 2","75.21515"," 5"
"524152",1,"2","*5"," 0"," 0","0","0","0"," 1","89.63661","14"
"524866",1,"*1","1"," 2"," 2","3","0","0"," 1","74.65438","12"
"525634",1,"3","*5"," 0"," 0","5","0","0"," 0","89.03509"," 1"
"526602",1,"4","*6"," 0"," 2","0","0","1"," 0","85.71429"," 2"
"526647",1,"3","*5"," 0"," 0","0","0","0"," 0","88.53411","13"
"526784",1,"3","1"," 0"," 1","*5","0","0"," 3","89.33002","14"
"527458",1,"3","*5"," 0"," 1","0","0","0"," 0"," 0.00000"," 8"
"527570",1,"3","1"," 0","* 7","0","0","0"," 0","77.77778"," 4"
"530056",4,"4","*4"," 0"," 1","*8","*1","0","* 0","81.08108","11"
"530695",2,"*4","4"," 1"," 0","3","0","*1"," 0","84.71824","11"
"531005",1,"1","4"," 3"," 0","1","1","0","* 7","76.92308","26"
"531013",1,"3","1"," 1","*12","5","0","0"," 0","68.04836","36"
"531014",1,"3","1"," 1","*12","5","0","0"," 0","68.04836","36"
"534451",1,"2","*5"," 2"," 0","0","2","0"," 1","86.91372"," 8"
"537536",1,"2","1"," 8"," 1","1","1","0","* 7","11.53846","13"
"545524",1,"1","1"," 1"," 0","0","2","0","* 9","91.47589"," 8"
"551610",1,"5","1"," 0"," 0","0","*3","0"," 0","78.84615"," 5"
"553893",1,"3","1"," 2"," 0","0","*3","1"," 7","93.77432"," 8"
"554107",1,"2","1"," 2","* 7","1","1","0"," 0","57.69231"," 6"
"557061",1,"3","4"," 1"," 0","1","*2","0"," 1","71.32353","26"
"558071",1,"3","*6"," 0"," 0","0","0","0"," 0","79.47020"," 8"
"560271",1,"3","*6"," 0"," 0","0","0","0"," 0","84.14023"," 8"
"562373",1,"4","*5"," 0"," 0","0","0","0"," 0","52.63158"," 3"
"579632",1,"3","*5"," 1"," 2","1","2","2"," 1","66.66667"," 8"
"586457",1,"4","1"," 0","*12","0","0","0"," 0","78.84615"," 8"
"586458",1,"4","*5"," 2"," 3","0","1","0"," 0"," 0.00000"," 8"
"588812",1,"4","*5"," 0"," 0","0","0","0"," 0","84.61538"," 8"
"588864",1,"1","1"," 1"," 1","1","0","*3"," 0","59.25926"," 6"
"594941",1,"3","*5"," 2"," 1","0","0","0"," 1","16.66667"," 8"
"595653",1,"3","1"," 0"," 1","0","*2","0"," 2","86.44444","19"
"595858",1,"3","*5"," 5"," 0","1","0","0"," 0","73.68421"," 5"
"602361",1,"4","4"," 0","* 7","0","0","0"," 0","53.84615","12"
"604027",1,"3","*5"," 1"," 0","0","0","0"," 0","85.36585"," 8"
"606653",1,"2","1"," 0","*11","1","1","0"," 0","73.80952"," 7"
"608629",1,"3","*5"," 2"," 0","0","0","0"," 0","84.47122"," 8"
"615292",1,"3","*6"," 2"," 0","0","0","0"," 1","80.00000","10"
"615408",1,"4","4"," 0"," 1","1","0","*7"," 0"," 0.00000"," 3"
"617612",1,"3","*5"," 0"," 0","0","0","0"," 0","72.57525"," 8"
"618591",1,"2","1"," 2","* 9","0","1","0"," 0","74.50980"," 6"
"619466",1,"3","*5"," 0"," 1","0","0","1"," 1","16.66667"," 8"
"619469",1,"3","*5"," 0"," 1","0","0","0"," 1"," 0.00000"," 8"
"619481",1,"2","*5"," 0"," 1","1","1","0"," 0","61.81818","15"
"623849",1,"3","*5"," 9"," 0","0","0","0"," 0","91.45621"," 8"
"625889",1,"3","4"," 0"," 0","0","0","0","* 8","60.00000"," 8"
"639690",1,"3","*5"," 9"," 0","0","0","0"," 0","86.33913"," 8"
"642375",1,"3","*5"," 0"," 0","0","0","0"," 0","74.66667"," 8"
"646877",1,"2","1"," 1"," 5","1","0","0","* 7","71.57191"," 2"
"647343",1,"3","7"," 2"," 1","0","1","0","* 7","93.19066"," 4"
"654708",1,"5","*5"," 0"," 0","0","0","0"," 0","76.92308"," 8"
"654831",1,"3","*5"," 0"," 1","0","0","0"," 0","94.95798"," 2"
"659880",1,"5","*5"," 0"," 0","1","0","0"," 1","79.31034"," 8"
"671884",1,"3","*5"," 1"," 0","0","0","0"," 0","33.33333"," 8"
"675881",1,"3","*5"," 0"," 0","0","0","0"," 0","81.81818"," 8"
"680969",1,"3","*5"," 2"," 0","0","0","1"," 0","91.45621"," 8"
"682855",1,"*5","1"," 0"," 2","2","0","0"," 0","67.81609"," 5"
"687009",1,"3","*5"," 0"," 0","0","0","0"," 0","91.45621"," 8"
"688301",1,"3","5","*44"," 0","0","0","0"," 0","75.00000"," 7"
"688662",1,"3","*5"," 0"," 0","0","0","0"," 0","76.00000"," 8"
"690013",1,"3","*5"," 0"," 1","0","0","0"," 0","78.26087"," 8"
"691351",1,"4","2"," 1"," 0","2","0","*3"," 1","80.55556","14"
"692291",1,"2","*6"," 1"," 1","0","0","0"," 0","86.55462"," 8"
"693280",1,"3","*5"," 0"," 0","0","0","0"," 0","56.86275"," 8"
"695345",1,"1","*5"," 0"," 3","1","1","0"," 0","33.33333"," 8"
"696868",1,"3","*6"," 1"," 0","0","0","0"," 0","72.58567"," 4"
"698814",1,"4","*5"," 0"," 0","0","0","0"," 0","89.61039"," 8"
"699442",1,"4","*5"," 1"," 0","1","0","0"," 0","86.11111"," 6"
"700817",1,"3","1"," 0"," 3","1","*2","0"," 0","66.66667"," 8"
"703737",1,"3","*5"," 0"," 0","0","0","0"," 0","50.00000"," 8"
"705096",1,"3","1"," 0"," 0","0","*2","0"," 1","86.20130"," 8"
"707009",1,"3","*5"," 0"," 0","0","0","1"," 0","77.77778"," 8"
"709076",1,"3","4"," 1"," 0","0","0","*3"," 0","46.03175"," 7"
"715999",1,"3","*6"," 0"," 0","2","0","0"," 0","22.22222"," 8"
"717605",1,"3","*5"," 0"," 0","0","0","0"," 0","84.47122"," 8"
"721480",1,"1","*5"," 2"," 1","1","0","0"," 1","65.00000"," 6"
"723339",1,"3","*6"," 0"," 0","0","0","0"," 0","60.75949"," 8"
"724761",1,"3","*5"," 1"," 0","0","0","0"," 0","62.76596","19"
"725345",1,"*1","1"," 0"," 1","2","0","0"," 0","84.25197"," 5"
"728724",1,"3","4"," 7"," 0","1","*2","0"," 0","62.50000"," 8"
"729938",1,"3","1"," 1"," 1","0","*2","1"," 1"," 0.00000"," 8"
"730225",1,"3","1"," 0"," 1","1","0","0","* 7","79.37220","50"
"730656",1,"4","*5"," 1"," 0","0","0","0"," 0","74.41860"," 3"
"735103",1,"3","*6"," 0"," 0","1","0","0"," 2","51.89873"," 8"
"738660",1,"3","*5"," 5"," 1","1","0","0"," 0","50.00000"," 8"
"741271",1,"*5","1"," 0"," 0","0","0","0"," 0","33.33333"," 3"
"742102",1,"3","1"," 0"," 0","1","0","0","* 9","86.29738","45"
"743428",1,"3","4"," 1"," 0","1","0","0","*12","86.85567","49"
"747937",1,"4","4"," 0"," 0","1","0","0"," 0","* 0.00000"," 1"
"749831",1,"3","4"," 3"," 1","0","*3","0"," 1","87.28640"," 2"
"756493",1,"3","5","*85"," 1","0","0","0"," 0","80.28846","15"
"758739",1,"3","1"," 1"," 0","2","0","0","* 7","75.00000"," 8"
"761179",1,"3","4"," 1"," 1","1","*3","0"," 5","77.59197","32"
"762744",1,"3","*5"," 1"," 1","0","0","0"," 0","55.17241"," 8"
"762855",1,"3","*5"," 5"," 1","0","0","0"," 0","87.12871"," 8"
"768121",1,"3","*6"," 0"," 1","0","0","0"," 0","87.50000"," 8"
