,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
18035,1,*2,1,1, 14, 0,1,2,1,1, 1,0.51724138,10
18036,2,*1,1,0,  3, 0,1,2,0,*1, 0,0.90476190, 8
18041,2,*1,1,1, 11, 0,1,2,1,0, 3,*0.25000000,14
18051,1,*1,1,1, 22, 0,2,4,1,0, 1,0.47826087, 5
18062,6,3,*1,1, 70,* 4,*1,0,0,*0,* 0,0.54545455,* 2
18076,1,3,1,1,*110, 4,1,1,0,0, 1,0.63636364, 2
18081,2,3,1,1, 23, 1,*4,2,0,0, 1,*0.33333333,17
18082,3,*4,1,1, 18, 0,*1,2,0,0, 1,*0.66666667, 5
18086,1,4,*6,1,  1, 0,0,1,0,0, 0,0.57692308, 3
18094,1,3,1,1, 14,* 2,0,2,0,0, 1,0.87013764,32
18119,4,3,*2,0, 10,* 2,0,0,0,*1,* 0,0.87671233, 8
18179,1,3,1,1, 16, 0,1,2,0,*1, 1,0.78400000, 7
18409,1,3,7,1, 17,* 2,1,1,0,0, 1,0.77832512,27
18524,1,3,7,1, 30,* 6,0,1,0,0, 1,0.77142857,13
18955,1,3,*2,1, 26, 0,0,3,0,0, 5,0.88059701, 2
18968,1,*1,1,1,  3, 0,0,1,0,0, 1,0.88235294, 5
19023,2,*2,1,1, 15, 1,1,1,0,*1, 1,0.75095785, 7
19024,1,3,*3,1,  6, 0,0,2,0,0, 1,0.78400000,14
19033,1,*2,1,1, 10, 0,0,2,0,1, 0,0.85074627, 4
19035,1,*2,1,1, 15, 0,0,2,0,1, 0,0.86567164, 4
19413,1,3,4,1, 19,* 4,0,2,0,0, 2,0.88367347,12
19906,1,*5,1,0,  6, 0,0,0,1,0, 2,0.73754789, 8
19907,1,*2,1,1, 31, 0,3,3,0,1, 1,0.45833333, 5
19910,6,3,*1,1, 13, 0,*0,*4,0,*1, 1,*0.56521739,* 1
19911,8,*3,*1,*1, 14, 0,*0,*4,0,*1, 1,*0.56521739,* 1
19912,1,3,1,1, 22, 0,0,4,0,1, 1,0.60869565,* 1
19914,1,3,*6,0,  4, 0,0,2,0,0, 1,0.78571429, 8
19918,1,3,*6,0,  4, 0,0,0,0,0, 2,0.79015544, 8
19927,1,3,1,1, 14,* 2,3,3,0,0, 1,0.72972973,16
19929,1,3,*3,0,  1, 0,0,0,0,0, 0,0.78571429, 8
19932,1,3,*6,1,  5, 0,0,1,0,0, 1,0.78947368, 5
19984,1,3,7,1, 52,* 6,0,1,0,0, 2,0.84615385,20
19993,1,4,4,1,  7,* 2,1,0,0,0, 0,0.72727273, 3
20545,1,*2,1,1, 31, 1,1,1,1,1, 1,0.75000000, 7
20551,1,4,*2,0, 10, 0,1,0,0,0, 0,0.50000000, 8
20553,2,3,*4,1,  3, 0,0,0,0,*1, 0,0.78947368,14
20555,2,*1,*3,1,  4, 1,2,1,1,1, 1,0.73076923,49
20566,1,3,*4,1, 16, 0,2,3,0,0, 2,0.77777778, 3
20747,3,3,*2,*1,  3, 0,1,1,0,1, 0,0.72222222,*92
20748,1,3,*6,1,  3, 0,1,2,0,0, 1,0.83333333, 6
20749,2,4,*4,1, 13, 0,1,2,0,0, 1,0.52380952,* 2
20750,1,4,*4,1, 14, 0,1,2,0,0, 2,0.52380952, 2
20886,2,3,*3,1, 12,* 2,1,1,0,0, 1,0.86111111,15
