issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-3752	0	526	1	2	0	3	0
HBASE-21363	0	1	1	3	1	7	0
HBASE-21426	0	195	0	3	1	1	0
HBASE-19818	0	8	1	3	1	1	0
HBASE-22257	0	6	1	3	1	3	0
HBASE-12267	0	54	1	3	1	1	0
HBASE-9707	0	2051	0	4	0	4	0
HBASE-21810	0	41	1	3	1	4	0
HBASE-16574	0	21	0	3	0	4	0
HBASE-16574	21	421	0	3	1	4	0
HBASE-16574	421	430	0	3	1	4	0
HBASE-16574	430	439	1	3	1	4	0
HBASE-10408	0	1	1	3	1	6	0
HBASE-4481	0	10	0	3	0	1	0
HBASE-4481	10	338	1	2	0	1	1
HBASE-9772	0	8	1	4	1	4	0
HBASE-21780	0	18	1	4	1	4	0
HBASE-6364	0	47	1	3	1	1	0
HBASE-13175	0	1530	0	3	0	1	0
HBASE-3646	0	574	1	4	0	2	0
HBASE-7200	0	7	1	3	1	7	0
HBASE-923	0	56	1	3	0	4	0
HBASE-10547	0	6	1	4	0	1	0
HBASE-17749	0	1	0	3	0	7	0
HBASE-17749	1	85	1	3	1	7	0
HBASE-18693	0	629	0	3	1	4	0
HBASE-21977	0	4	0	3	0	7	0
HBASE-21977	4	11	1	3	1	7	0
HBASE-14697	0	1298	0	3	0	14	0
HBASE-625	0	149	0	3	0	4	0
HBASE-625	149	169	1	2	1	4	1
HBASE-7927	0	14	0	3	0	1	0
HBASE-7927	14	254	1	3	1	1	0
HBASE-11530	0	1	1	3	1	1	0
HBASE-16338	0	377	0	4	0	3	0
HBASE-16338	377	401	0	4	1	3	0
HBASE-16338	401	421	0	3	1	3	1
HBASE-16338	421	426	0	3	0	3	1
HBASE-16338	426	447	1	3	1	3	1
HBASE-17022	0	1	1	3	1	1	0
HBASE-20459	0	1	0	3	0	4	0
HBASE-20459	1	3	1	2	1	4	1
HBASE-10322	0	10	1	1	1	1	0
HBASE-20734	0	7	0	3	0	4	0
HBASE-20734	7	263	1	3	1	4	0
HBASE-981	0	1	0	3	0	1	0
HBASE-981	1	2	1	3	1	1	0
HBASE-10997	0	13	1	5	1	4	0
HBASE-7600	0	277	0	3	0	1	0
HBASE-7600	277	281	1	3	1	1	0
HBASE-15806	0	12	0	5	0	2	0
HBASE-15806	12	417	0	4	1	2	1
HBASE-15806	417	478	1	2	1	2	1
HBASE-5505	0	1720	1	3	0	1	0
HBASE-2281	0	1	1	5	1	4	0
HBASE-21510	0	173	0	3	1	1	0
HBASE-20132	0	1	0	4	0	3	0
HBASE-20132	1	25	1	4	1	3	0
HBASE-18408	0	1	0	3	0	1	0
HBASE-18408	1	23	0	1	0	1	1
HBASE-18408	23	246	1	2	0	1	1
HBASE-7509	0	148	0	4	0	4	0
HBASE-7509	148	373	0	2	0	4	1
HBASE-7509	373	374	0	2	1	4	1
HBASE-7509	374	633	1	2	1	4	1
HBASE-21855	0	5	1	4	1	6	0
HBASE-14885	0	1	1	3	1	1	0
HBASE-3152	0	7	0	3	0	1	0
HBASE-3152	7	1252	1	3	1	1	0
HBASE-3291	0	1	1	3	0	1	0
HBASE-3405	0	6	1	4	0	4	0
HBASE-276	0	6	0	3	1	1	0
HBASE-276	6	9	1	3	0	1	0
HBASE-18092	0	1	0	3	0	1	0
HBASE-18092	1	18	1	3	1	1	0
HBASE-12802	0	1	1	3	1	7	0
HBASE-21216	0	8	0	3	0	6	0
HBASE-21216	8	35	1	3	1	6	0
HBASE-4385	0	867	1	3	0	3	0
HBASE-12970	0	1562	0	4	0	4	0
HBASE-18451	0	3	0	3	0	1	0
HBASE-18451	3	409	0	3	1	1	0
HBASE-18451	409	413	0	3	1	1	0
HBASE-18451	413	426	0	3	0	1	0
HBASE-18451	426	430	1	3	1	1	0
HBASE-13732	0	7	1	4	1	1	0
HBASE-8433	0	29	1	2	1	1	0
HBASE-2959	0	32	0	1	0	1	0
HBASE-2959	32	1412	1	3	0	1	1
HBASE-16274	0	85	0	4	0	6	0
HBASE-16274	85	87	1	4	1	6	0
HBASE-8925	0	2136	0	3	0	4	0
HBASE-16380	0	245	1	3	0	3	0
HBASE-22322	0	3	1	3	0	7	0
HBASE-17257	0	892	0	3	1	2	0
HBASE-1960	0	41	0	4	0	1	0
HBASE-1960	41	893	1	4	1	1	0
HBASE-14817	0	1	1	4	0	3	0
HBASE-6171	0	33	1	3	0	1	0
HBASE-11958	0	1267	1	4	1	7	0
HBASE-17212	0	1	1	3	1	4	0
HBASE-19611	0	508	0	5	1	4	0
HBASE-10312	0	91	0	3	0	1	0
HBASE-10312	91	95	1	3	1	1	0
HBASE-16922	0	937	0	3	0	7	0
HBASE-16727	0	7	1	3	1	3	0
HBASE-856	0	95	0	3	0	1	0
HBASE-856	95	236	1	3	1	1	0
HBASE-296	0	13	0	3	0	1	0
HBASE-296	13	20	1	3	0	1	0
HBASE-6620	0	304	1	3	0	1	0
HBASE-20813	0	41	1	4	1	7	0
HBASE-1287	0	20	0	3	1	1	0
HBASE-1287	20	30	1	3	1	1	0
HBASE-22057	0	9	1	3	1	1	0
HBASE-13408	0	172	0	3	0	2	0
HBASE-13408	172	565	1	3	1	2	0
HBASE-18281	0	1	1	5	0	4	0
HBASE-14183	0	1	1	3	1	1	0
HBASE-478	0	11	0	4	0	1	0
HBASE-478	11	61	0	2	0	1	1
HBASE-478	61	68	1	2	1	1	1
HBASE-11706	0	1	1	4	1	4	0
HBASE-8096	0	22	0	3	0	1	0
HBASE-8096	22	31	1	3	1	1	0
HBASE-17674	0	5	1	3	0	1	0
HBASE-1445	0	12	1	2	1	4	0
HBASE-21662	0	4	0	3	1	3	0
HBASE-21662	4	5	1	3	1	4	0
HBASE-21472	0	2	1	3	1	7	0
HBASE-10955	0	6	1	3	1	1	0
HBASE-16976	0	2	1	4	1	1	1
HBASE-17103	0	912	0	3	0	1	0
HBASE-5708	0	3	1	4	0	1	0
HBASE-18678	0	630	0	3	0	4	0
HBASE-3798	0	2	1	4	1	4	0
HBASE-17696	0	811	0	3	0	1	0
HBASE-17312	0	58	0	3	0	7	0
HBASE-17312	58	66	0	3	1	7	0
HBASE-17312	66	73	1	3	1	7	0
HBASE-13997	0	11	1	4	1	1	0
HBASE-21041	0	9	1	3	1	1	0
HBASE-2888	0	1666	1	3	0	4	0
HBASE-8452	0	2209	0	3	1	4	0
HBASE-2887	0	28	0	3	1	4	0
HBASE-2887	28	992	1	3	1	4	0
HBASE-16174	0	2	1	3	1	7	0
HBASE-7022	0	3	0	3	1	1	0
HBASE-7022	3	53	1	3	0	1	0
HBASE-20392	0	1	1	4	1	3	0
HBASE-617	0	28	1	4	0	1	0
HBASE-13548	0	1484	0	3	0	7	0
HBASE-19504	0	79	0	3	0	2	0
HBASE-19504	79	101	1	3	1	2	0
HBASE-4051	0	1	1	3	0	1	0
HBASE-11978	0	21	1	3	1	3	0
HBASE-12427	0	2	1	5	1	3	0
HBASE-13118	0	42	1	3	1	4	0
HBASE-22122	0	29	1	3	1	7	0
HBASE-19391	0	84	1	3	1	1	0
HBASE-10040	0	315	1	3	1	7	0
HBASE-7771	0	1	1	3	1	1	0
HBASE-19674	0	8	1	3	1	4	0
HBASE-11176	0	1	1	3	1	1	0
HBASE-10909	0	157	1	3	1	14	0
HBASE-17838	0	15	1	3	1	7	0
HBASE-9345	0	144	0	4	1	7	0
HBASE-9345	144	262	0	4	1	4	0
HBASE-9345	262	297	1	4	1	4	0
HBASE-14745	0	16	0	3	1	1	0
HBASE-14745	16	18	0	2	1	1	1
HBASE-14745	18	666	1	1	1	1	1
HBASE-15374	0	541	1	3	0	14	0
HBASE-21985	0	1	1	3	1	7	0
HBASE-21586	0	156	0	5	1	4	0
HBASE-6680	0	2452	0	4	1	4	0
HBASE-17276	0	2	1	4	1	4	0
HBASE-19696	0	4	1	2	1	1	0
HBASE-18588	0	1	1	3	1	3	0
HBASE-20969	0	6	1	3	0	7	0
HBASE-11108	0	20	1	3	1	7	0
HBASE-5295	0	5	1	3	1	4	0
HBASE-22198	0	1	1	3	1	1	0
HBASE-13915	0	2	1	3	1	3	0
HBASE-20848	0	4	1	3	0	7	0
HBASE-779	0	2	1	1	0	4	0
HBASE-62	0	31	0	3	0	4	0
HBASE-62	31	84	0	4	0	4	1
HBASE-62	84	229	0	5	0	4	1
HBASE-62	229	247	1	5	1	4	1
HBASE-10440	0	1	1	3	1	6	0
HBASE-19293	0	4	1	3	1	4	0
HBASE-5221	0	21	0	3	0	1	0
HBASE-5221	21	22	1	3	1	1	0
HBASE-6984	0	64	0	4	1	7	0
HBASE-6984	64	123	0	4	0	7	0
HBASE-6984	123	306	1	4	1	7	0
HBASE-2506	0	212	0	3	0	1	0
HBASE-2506	212	417	0	1	0	1	1
HBASE-2506	417	1032	0	2	0	1	1
HBASE-2506	1032	1746	1	3	0	1	1
HBASE-6803	0	1	1	3	1	1	0
HBASE-10147	0	11	0	3	0	4	0
HBASE-10147	11	1981	0	3	1	4	0
HBASE-4733	0	1	1	3	0	1	0
HBASE-2725	0	2	1	1	1	1	0
HBASE-21519	0	7	0	2	0	1	0
HBASE-21519	7	170	0	2	1	1	0
HBASE-10371	0	10	1	3	1	1	0
HBASE-21875	0	3	1	3	1	4	0
HBASE-13080	0	3	1	5	1	4	0
HBASE-22227	0	1	1	5	1	3	0
HBASE-3562	0	3003	0	3	0	1	0
HBASE-6157	0	5	1	3	1	7	0
HBASE-21628	0	13	0	3	1	4	0
HBASE-21628	13	146	0	3	1	1	0
