issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change	has_desc_change	comment_count
HBASE-7424	0	20	0	4	0	2	0	0	1
HBASE-7424	20	81	0	4	0	2	0	1	1
HBASE-7424	81	82	1	4	0	2	0	1	2
HBASE-15810	0	1106	0	3	0	1	0	0	1
HBASE-18505	0	71	0	2	0	1	1	0	2
HBASE-18505	71	72	1	2	1	1	1	0	9
HBASE-10083	0	1390	1	3	1	4	0	0	1
HBASE-636	0	40	0	3	0	2	0	0	1
HBASE-636	40	68	0	3	0	2	0	0	2
HBASE-636	68	124	0	3	1	2	0	1	3
HBASE-636	124	159	1	1	1	2	1	1	4
HBASE-4374	0	1	0	1	0	3	0	0	1
HBASE-4374	1	5	0	1	0	3	0	0	2
HBASE-4374	5	32	0	1	0	3	0	0	3
HBASE-4374	32	42	0	1	0	3	0	0	4
HBASE-4374	42	43	1	1	0	3	0	0	6
HBASE-11365	0	1	1	3	0	1	0	0	2
HBASE-10674	0	81	0	3	0	7	0	1	1
HBASE-10674	81	148	0	3	0	7	0	1	2
HBASE-10674	148	150	0	3	1	7	0	1	4
HBASE-10674	150	154	1	3	1	7	0	1	12
HBASE-5894	0	4	0	4	1	1	0	0	7
HBASE-5894	4	6	0	4	1	1	0	0	9
HBASE-5894	6	7	0	4	1	1	0	0	12
HBASE-5894	7	8	1	4	1	1	0	0	24
HBASE-21838	0	1	0	3	0	7	0	0	1
HBASE-21838	1	2	1	3	1	7	0	0	5
HBASE-3867	0	11	0	2	0	1	0	1	2
HBASE-3867	11	52	0	2	0	1	0	1	3
HBASE-3867	52	53	0	2	0	1	0	1	9
HBASE-3867	53	54	0	2	0	1	0	1	17
HBASE-3867	54	58	0	2	0	1	0	1	18
HBASE-3867	58	59	0	2	0	1	0	1	25
HBASE-3867	59	72	1	2	0	1	0	1	26
HBASE-4159	0	2	1	3	1	4	0	0	3
HBASE-12406	0	1	0	3	1	1	0	0	4
HBASE-12406	1	2	1	3	1	1	0	0	5
HBASE-3688	0	2	1	3	0	1	0	0	3
HBASE-2287	0	3	0	3	1	1	0	0	2
HBASE-2287	3	7	1	3	1	1	0	0	3
HBASE-6497	0	2	0	3	0	4	0	0	5
HBASE-6497	2	4	0	3	0	4	0	0	6
HBASE-6497	4	2483	0	3	0	4	0	0	7
HBASE-16609	0	1	1	3	1	1	0	0	4
HBASE-9666	0	22	1	3	0	1	0	0	3
HBASE-7624	0	9	0	3	0	1	0	0	1
HBASE-7624	9	10	0	3	0	1	0	0	1
HBASE-7624	10	39	0	3	0	1	0	0	2
HBASE-7624	39	46	0	3	0	1	0	0	3
HBASE-7624	46	49	0	3	1	1	0	0	5
HBASE-7624	49	51	0	3	1	1	0	0	6
HBASE-7624	51	52	0	3	1	1	0	0	7
HBASE-7624	52	53	0	3	1	1	0	0	8
HBASE-7624	53	54	0	3	1	1	0	0	12
HBASE-7624	54	55	1	3	1	1	0	0	13
HBASE-4019	0	17	1	4	1	4	0	0	1
HBASE-6400	0	1	0	3	1	4	0	1	6
HBASE-6400	1	6	1	3	1	4	0	1	10
HBASE-4946	0	1	0	3	0	1	0	0	4
