issuekey	start_date	start	end	is_dead	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload
CLOUDSTACK-8206	2015-02-04	0	2	0	3	2	unassigned	0	0	0	0	1	0	0	0	0.0	
CLOUDSTACK-8206	2015-02-06	2	189	0	3	2	unassigned	0	1	0	0	1	0	0	0	0.0	
CLOUDSTACK-8206	2015-08-12	189	1295	0	3	2	unassigned	0	1	0	0	0	0	0	1	0.0	
CLOUDSTACK-8206	2018-08-22	1295	1646	0	3	2	unassigned	0	2	0	0	0	0	0	1	0.0	
CLOUDSTACK-8223	2015-02-06	0	11	0	3	2	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-8223	2015-02-17	11	32	0	3	2	unassigned	0	0	0	0	0	0	1	0	0.0	
CLOUDSTACK-8223	2015-03-10	32	49	0	3	2	unassigned	0	1	0	0	0	0	1	0	0.0	
CLOUDSTACK-8223	2015-03-27	49	53	0	3	2	unassigned	0	2	0	0	0	0	1	0	0.0	
CLOUDSTACK-8223	2015-03-31	53	1644	0	3	2	unassigned	0	3	0	0	0	0	1	0	0.0	
CLOUDSTACK-8239	2015-02-10	0	1	0	2	2	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-8239	2015-02-11	1	253	0	2	2	widodh	1	1	2	1	0	0	0	0	0.0	2.0
CLOUDSTACK-8239	2015-10-21	253	254	0	2	2	widodh	1	2	2	1	0	0	0	0	0.0	2.0
CLOUDSTACK-8239	2015-10-22	254	428	0	2	2	widodh	1	3	2	1	1	0	0	1	0.0	2.0
CLOUDSTACK-8239	2016-04-13	428	741	0	2	2	widodh	1	3	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-02-20	741	742	0	2	2	widodh	1	6	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-02-21	742	743	0	2	2	widodh	1	8	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-02-22	743	744	0	2	2	widodh	1	14	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-02-23	744	745	0	2	2	widodh	1	18	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-02-24	745	750	0	2	2	widodh	1	20	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-01	750	751	0	2	2	widodh	1	26	2	1	1	0	0	2	0.0	2.0
CLOUDSTACK-8239	2017-03-02	751	753	0	2	2	widodh	1	30	2	1	1	0	0	2	0.0	2.0
